Name,traffic_april8,traffic_april9,traffic_april10,traffic_april11,traffic_april12,traffic_april13
CLASSON AV,5918.0,4468.0,9318.0,9286.0,9618.0,9722.0
NEWKIRK AV,6907.75,5622.5,11963.0,12138.0,11843.0,12116.5
BLEECKER ST,17035.0,13008.0,21022.0,23134.0,22452.0,24142.0
FAR ROCKAWAY,6401.0,5291.0,9303.0,8940.0,8939.0,9299.0
FLATBUSH AV-B.C,15115.75,11764.25,28759.5,29120.25,28949.0,29881.5
LEXINGTON AV/63,25080.0,21110.0,33414.0,35081.0,34751.7142857,36542.2857143
MYRTLE AV,15902.5,14115.25,18715.5,19141.25,18988.5,19435.75
59 ST,18525.0,15659.0,23696.0,24295.0,23673.0,22953.2517219
CATHEDRAL PKWY,14152.5,12255.5,18295.0,17836.25,18803.5,19627.0
PARK PLACE,233.0,7.0,6687.0,6816.0,6924.0,7214.0
34 ST-HUDSON YD,12827.0,10946.0,22375.0,22996.0,22493.0,26026.0
E 149 ST,6145.75,5122.0,8476.75,7956.25,8503.75,8594.75
LIBERTY AV,2616.5,2210.5,3734.25,3796.25,3791.75,3952.0
V.CORTLANDT PK,7602.0,6026.0,10878.0,10682.0,10325.0,11027.0
174 ST,8634.25,7424.75,12424.75,13012.25,13000.5,12552.75
191 ST,12624.0,10898.0,15719.0,16500.0,15141.0,16045.0
FRANKLIN ST,4200.0,3400.5,8612.25,8803.25,9512.25,9643.5
81 ST-MUSEUM,17480.75,17397.75,25993.75,29271.5,36272.75,32885.0
PARKCHESTER,17873.75,14645.5,28913.75,27609.0,28946.299576,31605.5
DEKALB AV,19110.0,14050.0,28016.0,28622.0,28407.0,29175.0
176 ST,6503.0,5292.0,8761.0,8834.0,8810.0,8949.0
AVENUE J,5155.0,5455.0,7369.0,6799.0,6462.0,8073.0
AVENUE H,2238.0,1795.0,4427.0,4419.0,4347.0,4641.0
AVENUE I,1004.5,1054.5,1732.0,1386.0,1264.5,2129.75
AVENUE N,1722.25,1850.0,3756.5,3154.75,3097.0,3706.0
169 ST,9709.0,7753.0,15735.0,15554.0,15647.0,15611.0
AVENUE M,4048.0,4692.0,6090.0,4918.0,4876.0,6770.0
AVENUE P,1336.0,1194.0,2399.0,2248.0,2089.0,2582.0
BURNSIDE AV,11174.0,8483.0,14874.0,15034.0,14399.0,15138.0
AVENUE U,3762.0,3246.75,3411.25,3828.5,3796.75,3685.0
AVENUE X,1346.0,1056.0,2231.89476127,2226.62775352,2324.0,3081.0
46 ST BLISS ST,17793.0,14712.0,23442.0,24848.0,23540.0,23749.0
15 ST-PROSPECT,6263.5,5410.5,8836.0,9175.0,8946.0,8924.0
KNICKERBOCKER,95.0,8.75,7139.25,7707.25,7877.5,7730.5
KEW GARDENS,26437.0,21749.5,51702.5,51749.5,51561.5,51583.0
BEDFORD PK BLVD,6647.0,5712.0,7734.0,7964.0,7750.0,7765.0
AQUEDUCT RACETR,3109.0,2410.0,1757.0,1802.0,1987.0,2070.0
CHAUNCEY ST,3195.5,2829.25,4497.75,4651.5,4717.5,4722.0
CITY / BUS,19168.9348371,15276.9423559,34385.2489929,34657.1256822,35990.1724971,36384.4375688
MARBLE HILL-225,4804.0,4275.0,6536.0,6742.0,6367.0,6786.0
238 ST,3044.5,2382.0,4469.75,4592.5,4524.25,4706.0
49 ST,36382.0,30579.0,47236.25,52672.75,54403.0,54868.0
82 ST-JACKSON H,27427.0,21326.0,33495.0,33789.0,31959.0,32449.0
50 ST,19513.0,17245.0,29455.0,31388.0,33013.0,33523.0
HALSEY ST,10254.0,8572.0,12255.0,12220.0,12124.0,12544.0
KINGS HWY,19634.0,18423.0,33493.0,31313.0,31043.0,34973.0
NEVINS ST,14488.0,9139.0,20347.0,21165.0,21051.0,21493.0
190 ST,4984.0,4641.0,6440.0,6779.0,6477.0,6746.0
METS-WILLETS PT,17661.5,17582.25,8891.0,7358.25,6943.25,7744.5
36 ST,19044.5,15752.25,20112.5,20457.0,20558.5,20870.25
CLINTON-WASH AV,3542.0,2479.75,5455.5,5458.5,5745.75,5459.0
SENECA AVE,1.0,3.0,5061.0,5127.5,5513.0,5318.25
42 ST-PORT AUTH,101816.0,88636.0,133920.0,134911.656768,136521.273041,144126.5
STEINWAY ST,18306.0,14120.0,24068.0,24571.0,24472.0,24890.0
NEW LOTS,6878.75,5765.75,9263.0,9370.0,9011.0,9239.25
BAYCHESTER AV,24.0,2.75,3936.25,4275.5,4160.5,3952.25
BUHRE AV,3650.25,2787.0,6821.75,6492.25,6934.75,6937.25
HEWES ST,2684.5,2587.25,3930.75,3695.25,4062.75,4260.25
103 ST-CORONA,28025.0,22293.0,32890.0,34500.0,33449.0,34330.0
88 ST,2069.0,1711.25,4015.75,3996.75,4024.75,3964.75
233 ST,4353.0,3379.75,6449.5,6412.5,6250.0,6344.5
6 AV,8012.0,5843.0,5293.0,5692.0,5869.0,5978.0
157 ST,13347.0,12104.0,17161.25,17529.75,17269.75,17751.75
BOWERY,7300.0,6030.0,6503.0,6698.0,6714.0,7364.0
HOYT ST,355.0,66.0,13399.0,14380.0,13801.0,14151.0
NEWARK HW BMEBE,1855.23809524,2768.80708781,14166.2927472,14190.0530354,13694.1395494,11604.0216122
LONGWOOD AV,4350.0,3701.0,6276.0,5665.25,6255.25,6299.0
116 ST,17740.75,14925.75,22084.75,22245.75,22905.25,22971.25
168 ST,26371.0,21811.0,42098.0,43061.0,43414.0,43966.0
9TH STREET,8339.52380952,6344.28571429,9832.63157895,10686.8671679,10573.5632647,10674.8392257
FULTON ST,5885.0,4040.0,7499.0,7655.0,8010.0,7749.0
W 4 ST-WASH SQ,69464.25,56523.75,75137.75,80836.6818126,82972.5,88131.0
PROSPECT PARK,18163.0,21931.0,18957.0,23309.0,19203.0,20571.0
ST. GEORGE,4478.91975306,3512.18637583,13536.3307836,14653.0,13864.0,13854.0
LEXINGTON AV/53,27496.0,20482.0,82882.0,84385.0,86339.0,88645.0
BOWLING GREEN,23323.0,18597.0,61298.0,62654.0,58833.0,63352.0
LIVONIA AV,4048.75,3144.0,4826.5,4857.0,4742.5,4912.5
3 AV 138 ST,8311.75,6936.25,12312.5,13354.5,12872.75,12745.75
ELMHURST AV,11879.0,10187.0,15768.0,15654.0,15573.0,16133.0
74 ST-BROADWAY,7365.0,6076.0,7592.0,7648.0,7701.0,7537.0
