Name,traffic_april8,traffic_april9,traffic_april10,traffic_april11,traffic_april12,traffic_april13
NEW UTRECHT AV,8257.75,7598.5,9561.0,9985.75,9101.87880263,10493.7833599
EAST 105 ST,3962.5,3315.25,7369.5,7246.5,6850.0,7137.25
2 AV,29939.0,24898.0,30135.0,31658.0,32421.0,35272.0
GUN HILL RD,57.0,8.0,6575.0,6806.0,6777.0,6744.0
183 ST,6777.0,5302.0,8740.0,9020.0,8811.0,8847.0
UNION ST,4743.0,3479.0,10124.0,10598.0,10988.0,11237.0
FORDHAM RD,10453.0,7731.0,13961.0,13998.0,13902.0,13617.0
NEPTUNE AV,1075.5,958.5,2058.25,1966.0,1957.75,2016.75
THIRTY THIRD ST,18088.6633044,15243.5714286,39607.9559589,35837.684136,36007.213933,37129.1554464
BEACH 36 ST,1371.0,1114.0,1882.0,2033.0,1790.0,1893.0
HOUSTON ST,10865.5,8038.75,23648.5,24358.5,25575.5,26245.75
FOREST AVE,32.0,39.25,6776.75,7110.0,7053.0,7196.0
MORRIS PARK,33.0,2.75,4672.0,5078.5,5089.75,4737.75
